trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 1.0}",35,0,-155.3219625873203,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9801986733067553}",20,0,-128.6027872534597,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5399999999999999, 'e': 0.9607894391523232}",20,9,0.1299511479092823,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5199999999999999, 'e': 0.9417645335842487}",25,0,-92.58184201002982,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9231163463866358}",30,0,-243.1175053349069,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
6,False,"{'a': 0.47999999999999987, 'e': 0.9048374180359595}",25,0,-151.02081067270305,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8869204367171575}",25,0,-83.76494483743141,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.43999999999999984, 'e': 0.8693582353988059}",20,0,-177.13141768762537,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.4199999999999998, 'e': 0.8521437889662113}",20,0,-64.12465997118956,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
10,False,"{'a': 0.3999999999999998, 'e': 0.835270211411272}",20,0,-120.3533957460063,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.3799999999999998, 'e': 0.8187307530779818}",30,0,-170.7000972045454,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0.35999999999999976, 'e': 0.8025187979624785}",25,8,-90.5981142353947,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.33999999999999975, 'e': 0.7866278610665535}",20,0,-146.08279448865702,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
14,False,"{'a': 0.31999999999999973, 'e': 0.7710515858035663}",20,0,-152.79494182193758,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7557837414557255}",30,8,-116.9644046172676,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
16,False,"{'a': 0.2799999999999997, 'e': 0.7408182206817179}",30,18,-12.04576835721478,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.2599999999999997, 'e': 0.7261490370736909}",20,0,-170.86170559435973,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.7117703227626097}",30,0,-168.9656607437717,"{0: 17, 1: 1, 2: 10, 3: 0, 4: 2}",0
19,False,"{'a': 0.2199999999999997, 'e': 0.697676326071031}",25,0,-180.39924626406363,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
20,False,"{'a': 0.1999999999999997, 'e': 0.6838614092123558}",25,0,-135.3036026346503,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-110.6801894251173,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-111.50369719958529,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,0,-214.01562842133558,"{0: 16, 1: 2, 2: 6, 3: 4, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-190.0564726450111,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",20,12,-29.75812046918356,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-68.59926082575262,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,12,-6.090697925449412,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-208.30366426682545,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-119.15056627733983,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-141.35358083274386,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
